Austria, Period total fertility rates and period total fertility rates by age 40
Last modified: 13/09/2018
Year       TFR     TFR40
1951     2.021     1.934
1952     2.061     1.977
1953     2.094     2.012
1954     2.156     2.071
1955     2.289     2.206
1956     2.486     2.395
1957     2.572     2.479
1958     2.600     2.513
1959     2.688     2.598
1960     2.696     2.609
1961     2.786     2.699
1962     2.800     2.711
1963     2.821     2.736
1964     2.795     2.705
1965     2.703     2.620
1966     2.663     2.584
1967     2.621     2.548
1968     2.586     2.516
1969     2.488     2.423
1970     2.292     2.231
1971     2.200     2.138
1972     2.085     2.027
1973     1.938     1.885
1974     1.908     1.856
1975     1.827     1.781
1976     1.688     1.650
1977     1.631     1.594
1978     1.604     1.572
1979     1.598     1.570
1980     1.652     1.625
1981     1.674     1.648
1982     1.661     1.636
1983     1.559     1.537
1984     1.522     1.502
1985     1.474     1.454
1986     1.449     1.430
1987     1.432     1.411
1988     1.447     1.429
1989     1.446     1.427
1990     1.457     1.437
1991     1.507     1.488
1992     1.505     1.485
1993     1.501     1.480
1994     1.465     1.445
1995     1.423     1.403
1996     1.446     1.424
1997     1.393     1.370
1998     1.370     1.348
1999     1.340     1.316
2000     1.364     1.341
2001     1.331     1.305
2002     1.394     1.366
2003     1.376     1.346
2004     1.419     1.389
2005     1.408     1.376
2006     1.409     1.374
2007     1.385     1.349
2008     1.417     1.378
2009     1.396     1.355
2010     1.443     1.401
2011     1.431     1.385
2012     1.440     1.392
2013     1.436     1.385
2014     1.464     1.412
2015     1.491     1.434
2016     1.530     1.469
2017     1.518     1.458
