Bulgaria, Period total fertility rates and period total fertility rates by age 40
Last modified: 28/10/2011
Year       TFR     TFR40
1947     2.829     2.737
1948     2.875     2.782
1949     2.869     2.777
1950     2.927     2.823
1951     2.424     2.348
1952     2.428     2.359
1953     2.411     2.340
1954     2.360     2.295
1955     2.380     2.318
1956     2.345     2.287
1957     2.254     2.206
1958     2.231     2.185
1959     2.235     2.196
1960     2.312     2.274
1961     2.291     2.257
1962     2.241     2.207
1963     2.211     2.181
1964     2.184     2.155
1965     2.086     2.061
1966     2.025     2.002
1967     2.022     2.000
1968     2.269     2.247
1969     2.268     2.248
1970     2.173     2.155
1971     2.102     2.084
1972     2.028     2.011
1973     2.148     2.132
1974     2.289     2.273
1975     2.226     2.211
1976     2.243     2.228
1977     2.206     2.192
1978     2.149     2.137
1979     2.155     2.143
1980     2.054     2.042
1981     2.003     1.992
1982     2.012     2.002
1983     2.006     1.996
1984     2.009     1.999
1985     1.978     1.968
1986     2.019     2.009
1987     1.965     1.955
1988     1.972     1.962
1989     1.889     1.880
1990     1.787     1.778
1991     1.644     1.636
1992     1.544     1.534
1993     1.466     1.456
1994     1.378     1.370
1995     1.249     1.241
1996     1.257     1.248
1997     1.122     1.114
1998     1.152     1.144
1999     1.284     1.276
2000     1.322     1.312
2001     1.236     1.226
2002     1.213     1.204
2003     1.234     1.224
2004     1.287     1.276
2005     1.314     1.303
2006     1.378     1.366
2007     1.417     1.402
2008     1.479     1.463
2009     1.567     1.548
