Belarus, Period total fertility rates and period total fertility rates by age 40
Last modified: 06/04/2021
Year       TFR     TFR40
1964     2.282     2.191
1965     2.241     2.152
1966     2.309     2.222
1967     2.286     2.210
1968     2.316     2.234
1969     2.290     2.219
1970     2.354     2.291
1971     2.360     2.302
1972     2.311     2.256
1973     2.227     2.174
1974     2.214     2.166
1975     2.157     2.113
1976     2.120     2.078
1977     2.087     2.047
1978     2.065     2.031
1979     2.028     1.997
1980     2.007     1.979
1981     2.008     1.980
1982     1.991     1.965
1983     2.154     2.131
1984     2.096     2.072
1985     2.055     2.033
1986     2.156     2.130
1987     2.086     2.061
1988     2.120     2.096
1989     2.028     2.007
1990     1.913     1.896
1991     1.806     1.790
1992     1.765     1.750
1993     1.624     1.610
1994     1.535     1.522
1995     1.407     1.395
1996     1.335     1.324
1997     1.250     1.240
1998     1.300     1.290
1999     1.311     1.300
2000     1.318     1.308
2001     1.287     1.275
2002     1.241     1.230
2003     1.232     1.220
2004     1.234     1.221
2005     1.253     1.240
2006     1.335     1.322
2007     1.430     1.414
2008     1.488     1.471
2009     1.509     1.489
2010     1.495     1.475
2011     1.516     1.495
2012     1.621     1.598
2013     1.668     1.643
2014     1.697     1.668
2015     1.725     1.693
2016     1.734     1.700
2017     1.541     1.507
2018     1.448     1.413
