Canada, Period total fertility rates and period total fertility rates by age 40
Last modified: 28/01/2021
Year       TFR     TFR40
1921     3.528     3.270
1922     3.400     3.149
1923     3.229     2.991
1924     3.217     2.979
1925     3.130     2.898
1926     3.353     3.075
1927     3.316     3.043
1928     3.294     3.025
1929     3.217     2.964
1930     3.281     3.025
1931     3.194     2.951
1932     3.081     2.840
1933     2.863     2.645
1934     2.801     2.584
1935     2.751     2.543
1936     2.692     2.492
1937     2.639     2.448
1938     2.696     2.507
1939     2.648     2.468
1940     2.758     2.579
1941     2.820     2.647
1942     2.954     2.777
1943     3.028     2.854
1944     2.998     2.819
1945     2.999     2.816
1946     3.359     3.172
1947     3.580     3.397
1948     3.421     3.246
1949     3.440     3.270
1950     3.431     3.267
1951     3.478     3.313
1952     3.624     3.461
1953     3.702     3.538
1954     3.815     3.642
1955     3.820     3.649
1956     3.841     3.677
1957     3.930     3.766
1958     3.893     3.739
1959     3.943     3.791
1960     3.909     3.759
1961     3.853     3.702
1962     3.770     3.626
1963     3.680     3.544
1964     3.512     3.378
1965     3.149     3.031
1966     2.815     2.712
1967     2.596     2.509
1968     2.455     2.379
1969     2.404     2.336
1970     2.312     2.251
1971     2.138     2.088
1972     1.965     1.924
1973     1.875     1.842
1974     1.830     1.801
1975     1.832     1.806
1976     1.782     1.759
1977     1.750     1.731
1978     1.697     1.678
1979     1.695     1.678
1980     1.680     1.664
1981     1.652     1.635
1982     1.637     1.621
1983     1.621     1.606
1984     1.625     1.610
1985     1.611     1.595
1986     1.594     1.578
1987     1.576     1.559
1988     1.599     1.581
1989     1.659     1.640
1990     1.715     1.696
1991     1.714     1.694
1992     1.711     1.690
1993     1.682     1.660
1994     1.685     1.662
1995     1.670     1.645
1996     1.631     1.605
1997     1.567     1.540
1998     1.555     1.528
1999     1.543     1.515
2000     1.507     1.476
2001     1.535     1.504
2002     1.512     1.480
2003     1.541     1.507
2004     1.547     1.511
2005     1.565     1.528
2006     1.613     1.573
2007     1.659     1.616
2008     1.685     1.638
2009     1.675     1.625
2010     1.638     1.585
2011     1.618     1.564
2012     1.619     1.563
2013     1.602     1.545
2014     1.611     1.552
2015     1.596     1.535
2016     1.587     1.526
2017     1.543     1.480
2018     1.504     1.439
