Czechia, Period total fertility rates and period total fertility rates by age 40
Last modified: 19/05/2020
Year       TFR     TFR40
1950     2.799     2.707
1951     2.769     2.683
1952     2.711     2.631
1953     2.624     2.546
1954     2.593     2.522
1955     2.590     2.520
1956     2.580     2.517
1957     2.505     2.452
1958     2.314     2.277
1959     2.128     2.101
1960     2.121     2.097
1961     2.140     2.116
1962     2.152     2.131
1963     2.353     2.331
1964     2.384     2.359
1965     2.209     2.185
1966     2.040     2.021
1967     1.929     1.912
1968     1.860     1.844
1969     1.893     1.878
1970     1.920     1.905
1971     1.980     1.966
1972     2.077     2.064
1973     2.291     2.276
1974     2.440     2.426
1975     2.412     2.397
1976     2.372     2.358
1977     2.329     2.316
1978     2.335     2.322
1979     2.298     2.286
1980     2.108     2.097
1981     2.021     2.009
1982     2.014     2.003
1983     1.971     1.961
1984     1.976     1.967
1985     1.974     1.965
1986     1.948     1.940
1987     1.923     1.915
1988     1.954     1.946
1989     1.888     1.880
1990     1.908     1.899
1991     1.861     1.852
1992     1.715     1.706
1993     1.667     1.657
1994     1.440     1.431
1995     1.281     1.272
1996     1.189     1.180
1997     1.178     1.169
1998     1.163     1.153
1999     1.139     1.129
2000     1.151     1.140
2001     1.144     1.131
2002     1.165     1.151
2003     1.172     1.156
2004     1.219     1.202
2005     1.275     1.256
2006     1.323     1.302
2007     1.440     1.415
2008     1.513     1.485
2009     1.514     1.485
2010     1.516     1.485
2011     1.427     1.396
2012     1.452     1.419
2013     1.456     1.421
2014     1.528     1.492
2015     1.570     1.529
2016     1.631     1.587
2017     1.687     1.639
2018     1.708     1.656
