Germany, Period total fertility rates and period total fertility rates by age 40
Last modified: 04/02/2019
Year       TFR     TFR40
1956     2.220     2.153
1957     2.274     2.208
1958     2.276     2.213
1959     2.368     2.303
1960     2.368     2.305
1961     2.444     2.382
1962     2.440     2.379
1963     2.512     2.450
1964     2.535     2.473
1965     2.501     2.441
1966     2.507     2.451
1967     2.450     2.398
1968     2.360     2.310
1969     2.211     2.164
1970     2.029     1.986
1971     1.965     1.923
1972     1.734     1.697
1973     1.556     1.524
1974     1.526     1.496
1975     1.480     1.454
1976     1.507     1.484
1977     1.510     1.490
1978     1.501     1.484
1979     1.498     1.482
1980     1.561     1.545
1981     1.529     1.514
1982     1.506     1.491
1983     1.429     1.415
1984     1.387     1.373
1985     1.374     1.360
1986     1.414     1.400
1987     1.434     1.418
1988     1.462     1.445
1989     1.423     1.406
1990     1.455     1.437
1991     1.334     1.316
1992     1.300     1.282
1993     1.284     1.266
1994     1.249     1.230
1995     1.256     1.238
1996     1.328     1.308
1997     1.381     1.359
1998     1.368     1.346
1999     1.375     1.352
2000     1.399     1.374
2001     1.367     1.341
2002     1.361     1.334
2003     1.361     1.333
2004     1.381     1.352
2005     1.363     1.332
2006     1.356     1.322
2007     1.398     1.361
2008     1.408     1.368
2009     1.385     1.342
2010     1.420     1.374
2011     1.391     1.344
2012     1.410     1.361
2013     1.420     1.367
2014     1.476     1.418
2015     1.503     1.443
2016     1.597     1.531
2017     1.570     1.503
