Estonia, Period total fertility rates and period total fertility rates by age 40
Last modified: 25/02/2021
Year       TFR     TFR40
1959     1.947     1.880
1960     1.975     1.907
1961     1.982     1.924
1962     1.965     1.905
1963     1.912     1.858
1964     1.970     1.919
1965     1.915     1.865
1966     1.898     1.849
1967     1.911     1.867
1968     2.025     1.985
1969     2.126     2.086
1970     2.188     2.150
1971     2.234     2.197
1972     2.177     2.141
1973     2.098     2.062
1974     2.089     2.053
1975     2.048     2.015
1976     2.058     2.026
1977     2.053     2.023
1978     2.016     1.987
1979     2.012     1.986
1980     2.030     2.003
1981     2.087     2.062
1982     2.096     2.069
1983     2.177     2.149
1984     2.182     2.158
1985     2.130     2.105
1986     2.178     2.150
1987     2.271     2.245
1988     2.275     2.245
1989     2.218     2.195
1990     2.049     2.025
1991     1.802     1.781
1992     1.707     1.686
1993     1.485     1.469
1994     1.413     1.398
1995     1.372     1.357
1996     1.363     1.346
1997     1.306     1.286
1998     1.272     1.254
1999     1.295     1.275
2000     1.356     1.332
2001     1.316     1.295
2002     1.359     1.334
2003     1.367     1.343
2004     1.473     1.446
2005     1.519     1.488
2006     1.585     1.549
2007     1.687     1.646
2008     1.721     1.675
2009     1.701     1.651
2010     1.721     1.667
2011     1.613     1.561
2012     1.559     1.501
2013     1.521     1.469
2014     1.538     1.478
2015     1.584     1.516
2016     1.605     1.532
2017     1.591     1.513
2018     1.671     1.586
2019     1.661     1.576
