United Kingdom, Period total fertility rates and period total fertility rates by age 40
Last modified: 27/07/2020
Year       TFR     TFR40
1974     1.914     1.883
1975     1.805     1.777
1976     1.739     1.714
1977     1.683     1.659
1978     1.750     1.727
1979     1.860     1.836
1980     1.894     1.870
1981     1.823     1.798
1982     1.779     1.755
1983     1.768     1.744
1984     1.766     1.742
1985     1.793     1.768
1986     1.780     1.756
1987     1.811     1.786
1988     1.824     1.799
1989     1.791     1.766
1990     1.834     1.807
1991     1.818     1.790
1992     1.795     1.765
1993     1.758     1.727
1994     1.740     1.708
1995     1.709     1.676
1996     1.727     1.692
1997     1.725     1.688
1998     1.714     1.676
1999     1.685     1.646
2000     1.642     1.602
2001     1.627     1.584
2002     1.632     1.589
2003     1.703     1.656
2004     1.752     1.703
2005     1.762     1.709
2006     1.817     1.761
2007     1.866     1.807
2008     1.911     1.849
2009     1.893     1.829
2010     1.923     1.857
2011     1.912     1.842
2012     1.917     1.845
2013     1.830     1.758
2014     1.815     1.741
2015     1.805     1.729
2016     1.789     1.710
2017     1.737     1.657
2018     1.678     1.598
