Croatia, Period total fertility rates and period total fertility rates by age 40
Last modified: 08/12/2020
Year       TFR     TFR40
2001     1.456     1.433
2002     1.424     1.399
2003     1.409     1.386
2004     1.429     1.404
2005     1.503     1.478
2006     1.466     1.439
2007     1.483     1.454
2008     1.551     1.520
2009     1.585     1.550
2010     1.548     1.515
2011     1.482     1.447
2012     1.513     1.474
2013     1.457     1.417
2014     1.458     1.414
2015     1.400     1.360
2016     1.425     1.379
2017     1.419     1.371
2018     1.470     1.418
2019     1.467     1.412
