Hungary, Period total fertility rates and period total fertility rates by age 40
Last modified: 14/11/2018
Year       TFR     TFR40
1950     2.600     2.500
1951     2.529     2.435
1952     2.469     2.382
1953     2.753     2.656
1954     2.975     2.878
1955     2.808     2.717
1956     2.603     2.532
1957     2.295     2.238
1958     2.186     2.138
1959     2.089     2.047
1960     2.024     1.986
1961     1.939     1.904
1962     1.795     1.763
1963     1.825     1.795
1964     1.822     1.794
1965     1.831     1.805
1966     1.899     1.874
1967     2.027     2.002
1968     2.081     2.057
1969     2.052     2.027
1970     1.989     1.966
1971     1.941     1.919
1972     1.940     1.918
1973     1.942     1.921
1974     2.288     2.265
1975     2.366     2.343
1976     2.250     2.229
1977     2.168     2.147
1978     2.078     2.061
1979     2.018     2.001
1980     1.915     1.899
1981     1.882     1.867
1982     1.806     1.792
1983     1.761     1.748
1984     1.774     1.762
1985     1.874     1.861
1986     1.869     1.855
1987     1.854     1.839
1988     1.846     1.831
1989     1.838     1.823
1990     1.868     1.853
1991     1.875     1.859
1992     1.776     1.759
1993     1.687     1.669
1994     1.642     1.624
1995     1.571     1.554
1996     1.458     1.441
1997     1.377     1.360
1998     1.327     1.310
1999     1.284     1.267
2000     1.321     1.303
2001     1.310     1.290
2002     1.303     1.282
2003     1.272     1.251
2004     1.276     1.253
2005     1.307     1.282
2006     1.340     1.315
2007     1.316     1.288
2008     1.348     1.318
2009     1.322     1.290
2010     1.250     1.217
2011     1.258     1.221
2012     1.338     1.299
2013     1.341     1.299
2014     1.412     1.367
2015     1.441     1.392
2016     1.496     1.444
2017     1.496     1.441
