Iceland, Period total fertility rates and period total fertility rates by age 40
Last modified: 24/04/2020
Year       TFR     TFR40
1960     4.303     4.082
1961     3.927     3.737
1962     3.993     3.785
1963     3.993     3.808
1964     3.881     3.692
1965     3.728     3.540
1966     3.587     3.417
1967     3.285     3.142
1968     3.065     2.924
1969     2.990     2.876
1970     2.814     2.700
1971     2.920     2.826
1972     3.092     3.004
1973     2.942     2.842
1974     2.657     2.588
1975     2.648     2.576
1976     2.523     2.452
1977     2.312     2.247
1978     2.349     2.295
1979     2.488     2.444
1980     2.477     2.433
1981     2.332     2.291
1982     2.264     2.211
1983     2.244     2.194
1984     2.080     2.046
1985     1.933     1.902
1986     1.933     1.900
1987     2.072     2.030
1988     2.271     2.232
1989     2.201     2.155
1990     2.309     2.274
1991     2.187     2.137
1992     2.211     2.161
1993     2.222     2.163
1994     2.142     2.092
1995     2.078     2.034
1996     2.119     2.075
1997     2.036     1.988
1998     2.046     1.992
1999     1.993     1.952
2000     2.078     2.025
2001     1.952     1.901
2002     1.934     1.881
2003     1.990     1.930
2004     2.039     1.981
2005     2.048     1.991
2006     2.079     2.022
2007     2.088     2.032
2008     2.154     2.080
2009     2.228     2.148
2010     2.198     2.124
2011     2.018     1.938
2012     2.037     1.959
2013     1.933     1.850
2014     1.932     1.860
2015     1.805     1.734
2016     1.745     1.662
2017     1.710     1.635
2018     1.707     1.634
