Italy, Period total fertility rates and period total fertility rates by age 40
Last modified: 24/02/2020
Year       TFR     TFR40
1954     2.368     2.227
1955     2.349     2.215
1956     2.352     2.222
1957     2.350     2.225
1958     2.330     2.211
1959     2.407     2.288
1960     2.440     2.321
1961     2.445     2.333
1962     2.502     2.391
1963     2.587     2.480
1964     2.742     2.631
1965     2.703     2.595
1966     2.659     2.555
1967     2.565     2.468
1968     2.521     2.429
1969     2.535     2.441
1970     2.452     2.364
1971     2.436     2.351
1972     2.386     2.306
1973     2.365     2.288
1974     2.355     2.279
1975     2.229     2.161
1976     2.128     2.066
1977     1.991     1.938
1978     1.886     1.838
1979     1.775     1.736
1980     1.696     1.661
1981     1.598     1.566
1982     1.602     1.571
1983     1.537     1.508
1984     1.484     1.456
1985     1.449     1.422
1986     1.372     1.346
1987     1.351     1.325
1988     1.384     1.356
1989     1.347     1.320
1990     1.359     1.330
1991     1.323     1.294
1992     1.318     1.286
1993     1.260     1.230
1994     1.219     1.189
1995     1.193     1.161
1996     1.217     1.183
1997     1.227     1.190
1998     1.214     1.178
1999     1.233     1.194
2000     1.256     1.216
2001     1.251     1.208
2002     1.269     1.224
2003     1.287     1.238
2004     1.338     1.286
2005     1.331     1.277
2006     1.365     1.306
2007     1.390     1.327
2008     1.435     1.368
2009     1.435     1.364
2010     1.440     1.365
2011     1.423     1.345
2012     1.414     1.334
2013     1.379     1.297
2014     1.370     1.288
2015     1.349     1.265
2016     1.343     1.257
2017     1.327     1.238
