Lithuania, Period total fertility rates and period total fertility rates by age 40
Last modified: 05/11/2020
Year       TFR     TFR40
1959     2.623     2.471
1960     2.611     2.459
1961     2.601     2.451
1962     2.465     2.321
1963     2.347     2.218
1964     2.302     2.185
1965     2.231     2.121
1966     2.266     2.161
1967     2.273     2.176
1968     2.315     2.227
1969     2.341     2.260
1970     2.407     2.327
1971     2.426     2.344
1972     2.355     2.276
1973     2.228     2.158
1974     2.212     2.148
1975     2.181     2.120
1976     2.174     2.113
1977     2.134     2.079
1978     2.082     2.027
1979     2.047     1.993
1980     1.994     1.948
1981     1.986     1.935
1982     1.979     1.928
1983     2.111     2.063
1984     2.079     2.033
1985     2.084     2.041
1986     2.121     2.078
1987     2.105     2.062
1988     2.013     1.982
1989     1.983     1.956
1990     2.026     1.999
1991     2.007     1.983
1992     1.969     1.945
1993     1.740     1.715
1994     1.575     1.558
1995     1.552     1.534
1996     1.495     1.475
1997     1.469     1.451
1998     1.460     1.440
1999     1.462     1.440
2000     1.391     1.369
2001     1.288     1.266
2002     1.234     1.213
2003     1.264     1.243
2004     1.275     1.253
2005     1.294     1.271
2006     1.326     1.301
2007     1.361     1.338
2008     1.448     1.421
2009     1.503     1.475
2010     1.501     1.471
2011     1.551     1.520
2012     1.595     1.561
2013     1.585     1.547
2014     1.626     1.586
2015     1.702     1.660
2016     1.688     1.643
2017     1.629     1.581
2018     1.632     1.581
2019     1.605     1.551
