Netherlands, Period total fertility rates and period total fertility rates by age 40
Last modified: 08/09/2020
Year       TFR     TFR40
1950     3.097     2.846
1951     3.050     2.811
1952     3.087     2.849
1953     3.032     2.803
1954     3.029     2.809
1955     3.033     2.821
1956     3.053     2.847
1957     3.080     2.880
1958     3.107     2.918
1959     3.171     2.983
1960     3.122     2.945
1961     3.217     3.046
1962     3.175     3.015
1963     3.192     3.038
1964     3.165     3.021
1965     3.038     2.908
1966     2.901     2.785
1967     2.812     2.707
1968     2.713     2.623
1969     2.746     2.660
1970     2.570     2.494
1971     2.360     2.296
1972     2.149     2.101
1973     1.903     1.865
1974     1.773     1.742
1975     1.664     1.639
1976     1.632     1.609
1977     1.580     1.558
1978     1.584     1.565
1979     1.563     1.546
1980     1.603     1.584
1981     1.564     1.545
1982     1.496     1.477
1983     1.468     1.450
1984     1.492     1.474
1985     1.512     1.494
1986     1.553     1.535
1987     1.558     1.540
1988     1.545     1.527
1989     1.554     1.534
1990     1.617     1.596
1991     1.612     1.589
1992     1.587     1.563
1993     1.572     1.547
1994     1.569     1.543
1995     1.531     1.506
1996     1.529     1.502
1997     1.562     1.534
1998     1.628     1.598
1999     1.652     1.620
2000     1.722     1.689
2001     1.710     1.675
2002     1.731     1.696
2003     1.747     1.711
2004     1.726     1.688
2005     1.709     1.670
2006     1.721     1.682
2007     1.718     1.678
2008     1.774     1.731
2009     1.791     1.746
2010     1.796     1.749
2011     1.760     1.712
2012     1.723     1.676
2013     1.679     1.633
2014     1.713     1.661
2015     1.658     1.608
2016     1.663     1.608
2017     1.619     1.563
2018     1.586     1.528
