Poland, Period total fertility rates and period total fertility rates by age 40
Last modified: 21/05/2019
Year       TFR     TFR40
1971     2.248     2.188
1972     2.227     2.168
1973     2.239     2.181
1974     2.248     2.191
1975     2.264     2.210
1976     2.296     2.245
1977     2.222     2.174
1978     2.199     2.157
1979     2.251     2.209
1980     2.256     2.215
1981     2.216     2.175
1982     2.315     2.272
1983     2.396     2.356
1984     2.359     2.320
1985     2.319     2.282
1986     2.215     2.179
1987     2.157     2.123
1988     2.152     2.118
1989     2.108     2.077
1990     2.071     2.040
1991     2.071     2.040
1992     1.953     1.922
1993     1.869     1.836
1994     1.786     1.752
1995     1.666     1.636
1996     1.606     1.577
1997     1.527     1.500
1998     1.451     1.425
1999     1.392     1.366
2000     1.367     1.342
2001     1.297     1.272
2002     1.234     1.208
2003     1.203     1.178
2004     1.209     1.183
2005     1.232     1.206
2006     1.257     1.232
2007     1.300     1.273
2008     1.377     1.348
2009     1.389     1.359
2010     1.372     1.340
2011     1.295     1.264
2012     1.305     1.273
2013     1.252     1.221
2014     1.285     1.252
2015     1.288     1.255
2016     1.358     1.323
