Russian Federation, Period total fertility rates and period total fertility rates by age 40
Last modified: 22/10/2020
Year       TFR     TFR40
1959     2.583     2.467
1960     2.556     2.447
1961     2.458     2.363
1962     2.340     2.252
1963     2.283     2.201
1964     2.160     2.084
1965     2.087     2.017
1966     2.098     2.032
1967     2.006     1.947
1968     1.970     1.913
1969     1.984     1.933
1970     1.995     1.947
1971     2.024     1.979
1972     2.027     1.982
1973     1.962     1.919
1974     1.995     1.953
1975     1.971     1.931
1976     1.953     1.915
1977     1.918     1.884
1978     1.899     1.867
1979     1.865     1.836
1980     1.863     1.837
1981     1.882     1.857
1982     1.956     1.931
1983     2.088     2.063
1984     2.051     2.027
1985     2.051     2.028
1986     2.177     2.152
1987     2.229     2.202
1988     2.142     2.116
1989     2.018     1.995
1990     1.894     1.874
1991     1.733     1.715
1992     1.549     1.532
1993     1.370     1.358
1994     1.395     1.383
1995     1.338     1.327
1996     1.271     1.259
1997     1.219     1.208
1998     1.233     1.221
1999     1.158     1.146
2000     1.196     1.183
2001     1.224     1.211
2002     1.287     1.274
2003     1.334     1.319
2004     1.345     1.328
2005     1.294     1.278
2006     1.305     1.287
2007     1.416     1.394
2008     1.502     1.477
2009     1.541     1.513
2010     1.567     1.536
2011     1.583     1.551
2012     1.692     1.657
2013     1.709     1.671
2014     1.752     1.710
2015     1.776     1.733
2016     1.762     1.717
2017     1.621     1.576
2018     1.579     1.532
