Slovakia, Period total fertility rates and period total fertility rates by age 40
Last modified: 09/05/2018
Year       TFR     TFR40
1950     3.578     3.389
1951     3.569     3.389
1952     3.549     3.378
1953     3.464     3.294
1954     3.410     3.252
1955     3.434     3.273
1956     3.426     3.290
1957     3.349     3.220
1958     3.203     3.095
1959     3.014     2.925
1960     3.019     2.930
1961     2.967     2.892
1962     2.837     2.765
1963     2.936     2.864
1964     2.911     2.840
1965     2.806     2.738
1966     2.684     2.623
1967     2.511     2.457
1968     2.421     2.371
1969     2.466     2.419
1970     2.428     2.383
1971     2.427     2.385
1972     2.482     2.442
1973     2.549     2.508
1974     2.592     2.554
1975     2.522     2.488
1976     2.522     2.490
1977     2.470     2.440
1978     2.459     2.431
1979     2.444     2.422
1980     2.316     2.294
1981     2.279     2.259
1982     2.270     2.251
1983     2.268     2.251
1984     2.253     2.236
1985     2.256     2.241
1986     2.203     2.189
1987     2.151     2.137
1988     2.153     2.140
1989     2.090     2.077
1990     2.096     2.081
1991     2.051     2.036
1992     1.931     1.915
1993     1.872     1.857
1994     1.673     1.658
1995     1.529     1.514
1996     1.478     1.465
1997     1.437     1.422
1998     1.384     1.369
1999     1.339     1.324
2000     1.302     1.286
2001     1.200     1.185
2002     1.188     1.173
2003     1.205     1.189
2004     1.249     1.230
2005     1.264     1.245
2006     1.253     1.234
2007     1.268     1.246
2008     1.341     1.317
2009     1.437     1.408
2010     1.428     1.398
2011     1.448     1.415
2012     1.465     1.431
2013     1.474     1.438
2014     1.503     1.465
