Slovenia, Period total fertility rates and period total fertility rates by age 40
Last modified: 20/03/2019
Year       TFR     TFR40
1983     1.809     1.787
1984     1.742     1.721
1985     1.714     1.695
1986     1.666     1.649
1987     1.649     1.634
1988     1.630     1.615
1989     1.524     1.509
1990     1.462     1.448
1991     1.422     1.406
1992     1.332     1.318
1993     1.332     1.319
1994     1.320     1.308
1995     1.291     1.278
1996     1.283     1.269
1997     1.248     1.236
1998     1.233     1.217
1999     1.213     1.197
2000     1.258     1.242
2001     1.210     1.195
2002     1.211     1.194
2003     1.201     1.183
2004     1.246     1.224
2005     1.261     1.239
2006     1.315     1.291
2007     1.380     1.352
2008     1.525     1.495
2009     1.533     1.503
2010     1.575     1.542
2011     1.562     1.529
2012     1.581     1.541
2013     1.547     1.509
2014     1.579     1.540
2015     1.572     1.528
2016     1.584     1.536
2017     1.620     1.571
