Ukraine, Period total fertility rates and period total fertility rates by age 40
Last modified: 13/11/2015
Year       TFR     TFR40
1959     2.282     2.216
1960     2.248     2.187
1961     2.156     2.099
1962     2.135     2.077
1963     2.105     2.050
1964     2.015     1.963
1965     1.942     1.893
1966     2.054     2.006
1967     2.058     2.013
1968     2.048     2.005
1969     2.034     1.993
1970     2.106     2.068
1971     2.123     2.086
1972     2.125     2.087
1973     2.030     1.994
1974     2.062     2.027
1975     2.051     2.016
1976     2.047     2.014
1977     1.972     1.942
1978     1.962     1.934
1979     1.944     1.918
1980     1.938     1.914
1981     1.899     1.876
1982     1.927     1.905
1983     2.097     2.075
1984     2.076     2.055
1985     2.021     2.000
1986     2.128     2.106
1987     2.074     2.052
1988     2.058     2.038
1989     1.933     1.914
1990     1.848     1.831
1991     1.774     1.758
1992     1.673     1.658
1993     1.561     1.548
1994     1.467     1.455
1995     1.398     1.387
1996     1.335     1.325
1997     1.272     1.263
1998     1.211     1.201
1999     1.127     1.117
2000     1.116     1.106
2001     1.089     1.079
2002     1.125     1.115
2003     1.169     1.159
2004     1.215     1.203
2005     1.207     1.194
2006     1.300     1.287
2007     1.334     1.319
2008     1.446     1.428
2009     1.460     1.440
2010     1.429     1.407
2011     1.459     1.435
2012     1.531     1.505
2013     1.506     1.479
